gene	weight	beta_meta	se_meta	I2	power	penalty_het	penalty_power	penalty_final	beta_capped	cap_c	capped_flag
ENSMUSG00000073555.2	0.4434995891565914	2.2174979457829567	0.05499399548813435	0.9370130375192884	1	0.06298696248071156	1	0.2	2.2174979457829567	3.97495376800076	FALSE
ENSMUSG00000038037.6	0.4433467315530195	2.2167336577650976	0.04756627540925837	0.9656666381735136	1	0.034333361826486386	1	0.2	2.2167336577650976	3.97495376800076	FALSE
ENSMUSG00000094796.3	0.4418164433722344	1.7677393335028742	0.03017971961255284	0.7500669725458049	1	0.2499330274541951	1	0.2499330274541951	1.7677393335028742	3.97495376800076	FALSE
ENSMUSG00000086866.4	0.4312794568668147	2.1563972843340733	0.07048385933394062	0.8644779457267403	1	0.1355220542732597	1	0.2	2.1563972843340733	3.97495376800076	FALSE
ENSMUSG00000073144.7	0.42972893528656214	2.1486446764328107	0.06297768155755626	0.8838195546478083	1	0.11618044535219174	1	0.2	2.1486446764328107	3.97495376800076	FALSE
ENSMUSG00000012519.15	0.4282351623567081	2.1411758117835404	0.03640593202154443	0.9607056355655922	1	0.039294364434407814	1	0.2	2.1411758117835404	3.97495376800076	FALSE
ENSMUSG00000028270.13	0.42635469009188304	2.131773450459415	0.03033581816259511	0.9714262333092436	1	0.028573766690756397	1	0.2	2.131773450459415	3.97495376800076	FALSE
ENSMUSG00000078853.9	0.4260789330288328	2.130394665144164	0.03033962424421523	0.9697659613132714	1	0.03023403868672858	1	0.2	2.130394665144164	3.97495376800076	FALSE
ENSMUSG00000026628.14	0.42539982914250285	2.126999145712514	0.04274969132519208	0.9862706039095752	1	0.013729396090424784	1	0.2	2.126999145712514	3.97495376800076	FALSE
ENSMUSG00000030162.15	0.4212513804538591	2.1062569022692954	0.07375618695490854	0.9751547994712156	1	0.02484520052878436	1	0.2	2.1062569022692954	3.97495376800076	FALSE
ENSMUSG00000052270.8	0.4209745983416142	2.104872991708071	0.06897877666239059	0.9093499611592056	1	0.09065003884079437	1	0.2	2.104872991708071	3.97495376800076	FALSE
ENSMUSG00000024675.20	0.42008656917110354	2.1004328458555177	0.03639438367969844	0.94290608604855	1	0.057093913951450026	1	0.2	2.1004328458555177	3.97495376800076	FALSE
ENSMUSG00000035208.17	0.419973301637925	2.099866508189625	0.03159125166595254	0.9347045595027454	1	0.06529544049725455	1	0.2	2.099866508189625	3.97495376800076	FALSE
ENSMUSG00000018986.11	0.40787051050568207	2.03935255252841	0.04044655866203663	0.8631915797769618	1	0.13680842022303819	1	0.2	2.03935255252841	3.97495376800076	FALSE
ENSMUSG00000030156.6	0.40720497748530315	2.0360248874265157	0.03448675782808173	0.9624002508165156	1	0.03759974918348441	1	0.2	2.0360248874265157	3.97495376800076	FALSE
ENSMUSG00000040483.16	0.40639252549366023	2.031962627468301	0.02764724031347753	0.9586375421502834	1	0.041362457849716594	1	0.2	2.031962627468301	3.97495376800076	FALSE
ENSMUSG00000020407.14	0.4025500618755808	2.012750309377904	0.0501178616443619	0.9846985610660764	1	0.01530143893392355	1	0.2	2.012750309377904	3.97495376800076	FALSE
ENSMUSG00000021614.17	0.3972832652663608	1.986416326331804	0.04069960951142604	0.942725542349196	1	0.05727445765080397	1	0.2	1.986416326331804	3.97495376800076	FALSE
ENSMUSG00000068246.7	0.39570172009407745	1.9785086004703871	0.06220106602224998	0.9278789070576946	1	0.0721210929423054	1	0.2	1.9785086004703871	3.97495376800076	FALSE
ENSMUSG00000112023.2	0.3929637195614428	1.964818597807214	0.03526183132015195	0.9823774516921728	1	0.01762254830782717	1	0.2	1.964818597807214	3.97495376800076	FALSE
ENSMUSG00000059089.5	0.3926856181729362	1.9634280908646808	0.04585641499587525	0.9561426316873344	1	0.04385736831266562	1	0.2	1.9634280908646808	3.97495376800076	FALSE
ENSMUSG00000070327.16	0.3867977470396802	1.9339887351984009	0.02504664213606916	0.942490736614953	1	0.05750926338504703	1	0.2	1.9339887351984009	3.97495376800076	FALSE
ENSMUSG00000057596.14	0.38558703607540723	1.927935180377036	0.02902356389960355	0.9899923197455984	1	0.010007680254401574	1	0.2	1.927935180377036	3.97495376800076	FALSE
ENSMUSG00000024079.5	0.3822439568885807	1.9112197844429033	0.02812232747149422	0.8854772161129755	1	0.11452278388702453	1	0.2	1.9112197844429033	3.97495376800076	FALSE
