gse_id	split_id	signature_id	signature_label	baseline_delta_score	baseline_auc_secondary	imrs_delta_score	imrs_auc_secondary
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.3971277156217272	1	3.166868738099831	1
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	1.430469164869328	0.92	1.8285090170879783	1
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	5.086553202264228	1	1.8285090170879783	1
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.0964135999587503	1	1.8285090170879783	1
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	4.553614455077108	1	4.409334481944208	1
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	5.236206550482925	1	4.409334481944208	1
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.7312261338840744	1	4.409334481944208	1
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	4.031820375292204	1	4.115105313956205	1
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	6.0774442412943825	1	4.115105313956205	1
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.7620535676417979	1	4.115105313956205	1
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	0.7455732886786893	0.88	1.0550234100660878	0.96
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	1.3018437252292998	0.92	1.0550234100660878	0.96
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.6599101302690485	1	1.0550234100660878	0.96
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	1.135966014606379	0.96	1.441223145245387	1
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	1.9231225028673755	1	1.441223145245387	1
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.870222725521085	1	1.441223145245387	1
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	ISG	Interferon-stimulated genes	23.46347502480971	1	56.61527045924109	1
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	30.41319124111064	1	56.61527045924109	1
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	14.017904308062377	1	56.61527045924109	1
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	ISG	Interferon-stimulated genes	8.861447589427941	1	13.680287410826422	1
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	0.16625161598970625	0.5555555555555556	13.680287410826422	1
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	3.4658002622777535	1	13.680287410826422	1
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	ISG	Interferon-stimulated genes	-0.45932566447308243	0.3333333333333333	1.0413601243524528	0.8888888888888888
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	4.5075929681173825	1	1.0413601243524528	0.8888888888888888
